trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.8187307530779818}",30,0,-46.234291599642106,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.7408182206817179}",25,0,-32.27366847185269,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,-105.0766541991619,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.6065306597126334}",30,0,-122.05208079350197,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.5488116360940264}",20,0,-19.528846219459382,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.49658530379140947}",30,0,-18.863892374907486,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.44932896411722156}",25,20,13.025784949941007,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.4065696597405991}",20,0,-43.29223165013929,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.36787944117144233}",30,0,5.830101226597981,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,13,-11.565726463664463,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.301194211912202}",20,0,-20.089212074489925,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.2725317930340126}",25,19,12.871831208754651,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.24659696394160643}",20,0,26.39519937167425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.22313016014842982}",25,2,-24.411210977392457,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.2, 'e': 0.20189651799465538}",25,13,-7.463904375515938,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.1826835240527346}",20,14,10.982359008179133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.16529888822158653}",20,0,-22.128662898699407,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
