trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.49809001581352,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.84638576192035,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.3082221473943,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.67855153243252,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.90073862879407,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.2678469046526,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.8539857028593,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.36738326161874,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.31081389719344,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,5,-183.95479285806735,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.11043904535643,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.11293167779912,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,10,-171.65757003390073,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.07023801856145,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,4,-102.82773205979339,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-250.8073859317098,"{0: 20, 1: 1, 2: 9, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,15,-54.19034081602201,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.9168086611297,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.99722818083067,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
